星级	厨师	炒	炸	煮	蒸	烤	切	肉	菜	面	鱼	主要	修炼
3	羽十六	185	0	154	30	0	61	0	0	4	5	炒	三1
3	熊麓	61	185	0	0	61	123	0	0	5	4	炸	
1	面小咖	0	0	80	100	20	0	3	3	0	0	蒸	
1	白祁右	40	120	0	0	0	40	3	3	0	0	炸	
1	熊伏伏	0	30	0	15	92	61	3	3	0	0	烤	
1	紫酱	66	0	100	33	0	0	3	0	3	0	煮	
2	武葵	23	0	0	138	46	92	4	3	0	0	蒸	
2	郭锅	138	0	0	46	92	23	3	0	0	4	炒	
2	农当午	23	0	138	92	46	0	3	4	0	0	煮	
2	鱼不斩	138	0	0	23	46	92	3	0	0	4	炒	
1	雷椒	0	78	0	15	75	30	0	0	3	3	炸	
1	豆腕儿	0	15	92	61	0	30	0	3	3	0	煮	
3	申公子	0	166	0	166	66	33	5	0	0	4	蒸	
2	禅优塔	0	42	21	85	0	150	0	0	3	4	切	
1	武陵仔	0	100	33	0	66	0	0	0	3	3	炸	
1	傣弟	0	30	61	92	0	15	3	3	0	0	蒸	
1	面小解	0	16	0	100	16	66	0	0	3	3	蒸	
1	锄小禾	0	0	66	100	0	33	2	4	0	0	蒸	
1	椒娃	0	80	26	40	53	0	0	3	0	3	炸	
1	熊妮	15	61	0	30	0	92	0	0	3	3	切	
1	藕多多	0	0	33	0	100	66	3	3	0	0	烤	
1	小当家	0	0	100	33	0	66	0	0	3	3	煮	
1	兜帽药师	66	0	100	33	0	0	3	3	0	0	煮	
													
